timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-25 20:00:00,5.399,5.77,5.26,5.5412,7485355.2,1598399999999,41175175.69487,70810,4454578.06,24506165.50976,0
2020-08-26 00:00:00,5.5412,5.685,5.3125,5.4286,5076789.51,1598414399999,27987341.840928003,40525,3121941.72,17220944.357394,0
2020-08-26 04:00:00,5.4294,5.52,5.1015,5.3761,5070870.96,1598428799999,27038703.526947,40989,2828131.13,15101284.698231,0
2020-08-26 08:00:00,5.3751,5.7432,5.282,5.421,4853381.67,1598443199999,26730808.09993,40561,2958444.0,16294052.644193,0
2020-08-26 12:00:00,5.4255,6.35,5.3359,6.3285,8461015.37,1598457599999,49453040.480008,70471,4935877.91,28866999.777748,0
2020-08-26 16:00:00,6.3285,6.57,6.1441,6.2886,8036330.62,1598471999999,51054576.213283,74450,4525565.93,28770394.940639,0
2020-08-26 20:00:00,6.2886,6.4183,5.8022,6.0708,6313131.61,1598486399999,38499839.80689,56013,3825135.94,23350983.146364,0
2020-08-27 00:00:00,6.0708,6.42,5.992000000000001,6.2498,4142699.73,1598500799999,25672934.296,36321,2354235.72,14581349.179214,0
2020-08-27 04:00:00,6.244,6.8,6.1011,6.7049,5837107.98,1598515199999,37959085.841239,47501,3186359.06,20736463.70928,0
2020-08-27 08:00:00,6.7015,6.7044,5.6055,5.7465,11661373.66,1598529599999,70967990.63270201,87952,5416987.11,32959497.173511,0
2020-08-27 12:00:00,5.7465,6.33,5.6501,5.8843,8888295.87,1598543999999,52875408.953969,69463,4329857.71,25752048.18732,0
2020-08-27 16:00:00,5.8843,5.8987,5.2001,5.5925,9768114.92,1598558399999,53848918.964779,77649,4721507.09,26074444.020854,0
2020-08-27 20:00:00,5.5918,5.8159,5.5139,5.6547,2328744.26,1598572799999,13220430.059628999,23970,1239730.63,7042856.425771001,0
2020-08-28 00:00:00,5.6569,6.1184,5.62,5.9035,4617672.71,1598587199999,27153211.629933,37887,2335730.18,13735961.327130001,0
2020-08-28 04:00:00,5.9021,5.9521,5.4620000000000015,5.5,3781382.93,1598601599999,21679765.272919,33596,2001046.04,11460795.936681,0
2020-08-28 08:00:00,5.5,5.8534,5.4998,5.7313,3098135.75,1598615999999,17652305.072117,32233,1688819.87,9616475.673325999,0
2020-08-28 12:00:00,5.7312,6.3202,5.7053,6.2494,6566671.33,1598630399999,39903154.491266,53578,3503572.78,21295790.113044,0
2020-08-28 16:00:00,6.2475,6.35,6.0545,6.3,3789843.61,1598644799999,23537331.263720002,36551,1855054.2,11522369.577347,0
2020-08-28 20:00:00,6.2959,6.3134,5.98,6.1812,2165466.3,1598659199999,13357226.683203999,25491,1027326.0,6338516.680504,0
2020-08-29 00:00:00,6.1769,6.215,6.0032,6.16,1638392.22,1598673599999,10018253.23559,17447,848414.49,5187690.823187999,0
2020-08-29 04:00:00,6.1602,6.4532,6.035,6.3532,2467198.37,1598687999999,15386994.225926,26564,1471744.92,9176872.226775,0
2020-08-29 08:00:00,6.3538,6.556,6.152,6.2860000000000005,4149891.6,1598702399999,26509568.04015401,42473,2066656.91,13221985.840661,0
2020-08-29 12:00:00,6.2860000000000005,6.38,6.1653,6.2852,2689764.62,1598716799999,16858271.95112,25945,1407165.59,8826118.658297999,0
2020-08-29 16:00:00,6.2883,6.51,6.2,6.3322,2828741.12,1598731199999,18060420.950223997,29714,1411157.97,9011171.185708,0
2020-08-29 20:00:00,6.3333,6.3846,6.074,6.1333,1586457.03,1598745599999,9904615.704328,15964,683410.57,4271978.347104,0
2020-08-30 00:00:00,6.1339,6.251,5.9,6.015,3022733.67,1598759999999,18348685.906178,30826,1604587.56,9732269.588487,0
2020-08-30 04:00:00,6.0147,6.1185,5.888999999999999,5.9396,2182582.96,1598774399999,13050999.281794999,27163,1182795.64,7071067.238395,0
2020-08-30 08:00:00,5.9379,6.1498,5.9377,6.0526,1671484.38,1598788799999,10092490.018817997,19933,864765.43,5221102.333725,0
2020-08-30 12:00:00,6.0507,6.099,5.6999,5.7926,3170762.88,1598803199999,18602090.183947,34702,1517267.29,8899246.719913,0
2020-08-30 16:00:00,5.8021,6.12,5.7509,5.98,2001067.16,1598817599999,11952759.556226,25430,1093571.38,6529576.9745769985,0
2020-08-30 20:00:00,5.9846,6.0694,5.8428,5.8912,1217904.86,1598831999999,7257116.746916003,14883,561002.5,3349024.068716,0
2020-08-31 00:00:00,5.8875,6.0384,5.8168,5.9034,1266058.37,1598846399999,7497463.319686,15307,589396.51,3490158.1139040007,0
2020-08-31 04:00:00,5.9039,6.0333,5.8189,5.8681,1235700.1,1598860799999,7327025.693605,15462,610365.39,3623065.8744660006,0
2020-08-31 08:00:00,5.8667,5.9599,5.7541,5.9297,1848714.89,1598875199999,10830724.428135,21147,1140670.58,6682216.439822,0
2020-08-31 12:00:00,5.9338,6.4662,5.8255,6.3424,5024016.16,1598889599999,31211582.913612,55739,2516069.72,15626170.673755,0
2020-08-31 16:00:00,6.3448,6.454,6.182,6.1996,2642829.63,1598903999999,16704072.0565,31665,1291476.83,8165402.477042999,0
2020-08-31 20:00:00,6.1983,6.349,6.0973,6.2718,1546728.56,1598918399999,9607244.930947,17613,691872.81,4301913.955293,0
